,0
2016-01-06 14:50:00,997109.2427199999
2016-01-06 14:55:00,991235.2427199999
2016-01-06 15:00:00,989717.2427199999
2016-01-07 09:35:00,974537.2427199999
2016-01-07 09:40:00,946553.2427199999
2016-01-07 09:45:00,937973.2427199999
2016-01-07 09:50:00,942295.5895599999
2016-01-07 09:55:00,942295.5895599999
2016-01-07 10:00:00,959305.5895599999
2016-01-07 10:05:00,959305.5895599999
2016-01-07 10:10:00,959305.5895599999
2016-01-07 10:15:00,959305.5895599999
2016-01-07 10:20:00,959305.5895599999
2016-01-07 10:25:00,959305.5895599999
2016-01-07 10:30:00,959305.5895599999
2016-01-07 10:35:00,959305.5895599999
2016-01-07 10:40:00,959305.5895599999
2016-01-07 10:45:00,959305.5895599999
2016-01-07 10:50:00,959305.5895599999
2016-01-07 10:55:00,959305.5895599999
2016-01-07 11:00:00,959305.5895599999
2016-01-07 11:05:00,959305.5895599999
2016-01-07 11:10:00,959305.5895599999
2016-01-07 11:15:00,959305.5895599999
2016-01-07 11:20:00,959305.5895599999
2016-01-07 11:25:00,959305.5895599999
2016-01-07 11:30:00,959305.5895599999
2016-01-07 13:05:00,959305.5895599999
2016-01-07 13:10:00,959305.5895599999
2016-01-07 13:15:00,959305.5895599999
2016-01-07 13:20:00,959305.5895599999
2016-01-07 13:25:00,959305.5895599999
2016-01-07 13:30:00,959305.5895599999
2016-01-07 13:35:00,959305.5895599999
2016-01-07 13:40:00,959305.5895599999
2016-01-07 13:45:00,959305.5895599999
2016-01-07 13:50:00,959305.5895599999
2016-01-07 13:55:00,959305.5895599999
2016-01-07 14:00:00,959305.5895599999
2016-01-07 14:05:00,959305.5895599999
2016-01-07 14:10:00,959305.5895599999
2016-01-07 14:15:00,959305.5895599999
2016-01-07 14:20:00,959305.5895599999
2016-01-07 14:25:00,959305.5895599999
2016-01-07 14:30:00,959305.5895599999
2016-01-07 14:35:00,959305.5895599999
2016-01-07 14:40:00,959305.5895599999
2016-01-07 14:45:00,959305.5895599999
2016-01-07 14:50:00,959305.5895599999
2016-01-07 14:55:00,959305.5895599999
2016-01-07 15:00:00,959305.5895599999
2016-01-08 09:35:00,937759.5895599999
