Datetime,leg,right,cash
2014-03-03 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-04 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-05 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-06 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-07 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-10 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-11 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-12 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-13 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-14 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-17 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-18 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-19 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-20 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-21 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-24 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-25 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-26 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-27 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-28 00:00:00+00:00,0.0,0.0,1000000.0
2014-03-31 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-01 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-02 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-03 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-04 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-08 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-09 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-10 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-11 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-14 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-15 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-16 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-17 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-18 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-21 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-22 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-23 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-24 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-25 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-28 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-29 00:00:00+00:00,0.0,0.0,1000000.0
2014-04-30 00:00:00+00:00,0.0,0.0,1000000.0
2014-05-05 00:00:00+00:00,0.0,0.0,1000000.0
2014-05-06 00:00:00+00:00,0.0,0.0,1000000.0
